"Demografische Bilanz nach Alter"

"Demografische Komponente";"Staatsangehörigkeit (Kategorie)";"Geschlecht";"Alter";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0 Jahre";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"1 Jahr";95953;94896;89336;84980;81124;74803;72158;71893;70404;70683;73323;73481;74655;73705;74012;74001;75506;76066;79650;80641;83439;85299;85761;82874;82032;81523;82475;79916;78032;77838;70213;71817;71989;71520;72863;72545;73043;74275;76316;77786;78031;78426;79621;81409;83730;84904;86296;85611
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"2 Jahre";96764;95510;93282;87792;82541;78425;72847;70920;70691;69886;70714;73204;73361;74377;73261;73816;73788;75161;75746;79275;79764;83173;85226;86061;83091;82512;81620;82315;79931;78817;75093;72269;72382;72448;71740;73017;73004;73179;75269;77073;79351;81663;81185;82850;83494;85645;86967;88206
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"3 Jahre";99696;96471;94632;91985;86721;81286;76987;72442;70867;71059;70038;71068;73145;72943;73897;72807;73499;73464;74919;75314;79324;81040;84425;86138;86570;83603;82518;81432;82122;80158;76552;75938;73003;73067;73084;72167;73567;74009;74506;76314;78793;80196;82560;82237;83897;84249;86612;87541
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"4 Jahre";100982;99365;96289;93800;91730;85668;80182;76887;72759;71172;71361;70443;71274;73443;73170;74097;73029;73944;74038;75004;76271;81365;82077;85531;86817;87203;83631;82405;81431;82316;78283;77276;76560;73642;73473;73480;72529;74417;75044;75233;77708;79522;80900;83341;82976;84600;84936;87070
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5 Jahre";103424;100613;99066;95933;94051;90690;84571;79959;77186;72657;71349;71756;70900;71808;73895;73631;74515;73633;74642;74383;76615;78209;82364;83054;86142;87425;87177;83533;82326;81602;80938;78991;77909;77034;74203;73835;73890;73327;75432;75764;76746;78288;80183;81773;84198;83633;85304;85315
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"6 Jahre";105204;103244;100422;98979;96343;92620;89066;83845;79705;76989;73346;72270;72599;71488;72330;74460;74420;75531;74795;75817;76554;78676;79455;83464;83956;86822;87073;86784;82956;81986;80442;81561;79540;78548;77582;74600;74243;74650;74289;76170;76774;77429;78980;81171;82637;84976;84434;85898
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"7 Jahre";105624;105039;102834;100064;98962;94328;90441;87670;83216;79231;76778;73500;72328;72544;71419;72358;74695;74776;76026;75340;76863;77770;79701;80446;84129;84522;86821;86947;86973;83202;82061;81100;82130;79978;78938;77877;75034;74903;75533;74999;76943;77450;78127;79780;82082;83454;85702;85086
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"8 Jahre";103395;105360;104390;102294;100024;97301;92572;89324;87019;82744;79047;76774;73482;72222;72452;71428;72520;75024;75173;76495;75767;77945;78887;80611;81026;84673;84585;86695;87205;87343;83120;82625;81565;82644;80466;79265;78316;75821;75853;76195;75624;77458;78023;78984;80602;82877;84384;86235
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"9 Jahre";99586;103284;105400;104091;102346;98989;96186;92029;89240;86962;82819;79270;76899;73466;72203;72528;71744;72890;75599;75722;76830;77003;78963;79832;81325;81562;85000;84731;86886;87688;86936;83634;83226;82038;83018;80803;79670;79033;76736;76534;76637;76270;78084;78901;79807;81371;83741;84928
