Jahr,Name,Lebensdaten,Kanton,Election,Left office,Party,Seq,Geburtsort,Reichtum,Akad-Familie,Akademiker,Beruf,Geschlecht
1848–1861,Jonas Furrer,1805–1861,Zürich,1848-11-16,1861-07-25 00:00:00,FDP/PRD,A01,Winterthur,0,0,1,Rechtswissenschaft,1
1848–1854,Ulrich Ochsenbein,1811–1890,Bern,1848-11-16,1854-12-06 00:00:00,FDP/PRD,B01,Unterlangenegg,0,0,1,Rechtswissenschaft,1
1848–1855,Henri Druey,1799–1855,Waadt,1848-11-16,1855-03-29 00:00:00,FDP/PRD,C01,Faoug,0,0,1,Rechtswissenschaft,1
1848–1855,Josef Munzinger,1791–1855,Solothurn,1848-11-16,1855-02-06 00:00:00,FDP/PRD,D01,Olten,1,0,0,Stadtschreiber,1
1848–1857,Stefano Franscini,1796–1857,Tessin,1848-11-16,1857-07-19 00:00:00,FDP/PRD,E01,Bodio,0,0,1,Lehrer,1
1848–1866,Friedrich Frey-Herosé,1801–1873,Aargau,1848-11-16,1866-12-31 00:00:00,FDP/PRD,F01,Lindau,1,0,1,Unternehmer,1
1848–1875,Wilhelm Matthias Naeff,1802–1881,St. Gallen,1848-11-16,1875-12-31 00:00:00,FDP/PRD,G01,Altstätten,1,0,1,Rechtswissenschaft,1
1855–1863,Jakob Stämpfli,1820–1879,Bern,1854-12-06,1863-12-31 00:00:00,FDP/PRD,B02,Wengi,0,0,1,Rechtswissenschaft,1
1855–1867,Constant Fornerod,1819–1899,Waadt,1855-07-11,1867-10-31 00:00:00,FDP/PRD,C02,Avenches,1,1,1,Rechtswissenschaft,1
1855–1875,Josef Martin Knüsel,1813–1889,Luzern,1855-07-14,1875-12-31 00:00:00,FDP/PRD,D02,Luzern,1,0,1,Rechtswissenschaft,1
1857–1864,Giovanni Battista Pioda,1808–1882,Tessin,1857-07-30,1864-01-26 00:00:00,FDP/PRD,E02,Locarno,1,1,1,Rechtswissenschaft,1
1861–1872,Jakob Dubs,1822–1879,Zürich,1861-07-30,1872-05-28 00:00:00,FDP/PRD,A02,Affoltern am Albis,0,0,1,Rechtswissenschaft,1
1864–1895,Karl Schenk,1823–1895,Bern,1863-12-12,1895-07-18 00:00:00,FDP/PRD,B03,Bern,0,0,1,Theologie,1
1864–1872,Jean-Jacques Challet-Venel,1811–1893,Genf,1864-07-12,1872-12-07 00:00:00,FDP/PRD,E03,Genf,0,0,1,Lehrer,1
1867–1891,Emil Welti,1825–1899,Aargau,1866-12-08,1891-12-31 00:00:00,FDP/PRD,F02,Zurzach,1,1,1,Rechtswissenschaft,1
1867–1869,Victor Ruffy,1823–1869,Waadt,1867-12-06,1869-12-29 00:00:00,FDP/PRD,C03,Lutry,1,0,1,Rechtswissenschaft,1
1870–1875,Paul Cérésole,1832–1905,Waadt,1870-02-01,1875-12-31 00:00:00,FDP/PRD,C04,Friedrichsdorf,1,1,1,Rechtswissenschaft,1
1872–1878,Johann Jakob Scherer,1825–1878,Zürich,1872-07-12,1878-12-23 00:00:00,FDP/PRD,A03,Schönenberg,1,0,0,Unternehmer,1
1873–1875,Eugène Borel,1835–1892,Neuenburg,1872-12-07,1875-12-31 00:00:00,FDP/PRD,E04,Neuchâtel,0,1,1,Rechtswissenschaft,1
1876–1878,Joachim Heer,1825–1879,Glarus,1875-12-10,1878-12-31 00:00:00,FDP/PRD,D03,Glarus,1,1,1,Rechtswissenschaft,1
1876–1880,Fridolin Anderwert,1828–1880,Thurgau,1875-12-10,1880-12-25 00:00:00,FDP/PRD,G02,Frauenfeld,1,1,1,Rechtswissenschaft,1
1876–1890,Bernhard Hammer,1822–1907,Solothurn,1875-12-10,1890-12-31 00:00:00,FDP/PRD,E05,Olten,0,0,1,Rechtswissenschaft,1
1876–1892,Numa Droz,1844–1899,Neuenburg,1875-12-18,1892-12-18 00:00:00,FDP/PRD,C05,La Chaux-de-Fonds,0,0,0,Lehrer,1
1879–1883,Simeon Bavier,1825–1896,Graubünden,1878-12-10,1883-01-05 00:00:00,FDP/PRD,D04,Chur,1,0,1,Ingenieur,1
1879–1888,Wilhelm Hertenstein,1825–1888,Zürich,1879-03-21,1888-11-27 00:00:00,FDP/PRD,A04,Kyburg,0,0,0,Forstmeister,1
1881–1893,Louis Ruchonnet,1834–1893,Waadt,1881-03-03,1893-09-14 00:00:00,FDP/PRD,G03,Lausanne,0,1,1,Rechtswissenschaft,1
1883–1912,Adolf Deucher,1831–1912,Thurgau,1883-04-10,1912-07-10 00:00:00,FDP/PRD,D05,Zürich,1,1,1,Arzt,1
1889–1902,Walter Hauser,1837–1902,Zürich,1888-12-13,1902-10-22 00:00:00,FDP/PRD,A05,Wädenswil,1,0,0,Unternehmer,1
1891–1897,Emil Frey,1838–1922,Basel-Landschaft,1890-12-11,1897-03-11 00:00:00,FDP/PRD,E06,Arlesheim,1,1,0,Landschreiber,1
1892–1908,Josef Zemp,1834–1908,Luzern,1891-12-17,1908-06-17 00:00:00,CVP/PDC,F03,Entlebuch,0,1,1,Rechtswissenschaft,1
1893–1899,Adrien Lachenal,1849–1918,Genf,1892-12-15,1899-12-31 00:00:00,FDP/PRD,C06,Genf,0,0,1,Rechtswissenschaft,1
1894–1899,Eugène Ruffy,1854–1919,Waadt,1893-12-14,1899-10-31 00:00:00,FDP/PRD,G04,Lutry,1,1,1,Rechtswissenschaft,1
1895–1919,Eduard Müller,1848–1919,Bern,1895-08-16,1919-11-09 00:00:00,FDP/PRD,B04,Dresden,1,1,1,Rechtswissenschaft,1
1897–1911,Ernst Brenner,1856–1911,Basel-Stadt,1897-03-25,1911-03-11 00:00:00,FDP/PRD,E07,Basel,1,0,1,Rechtswissenschaft,1
1900–1912,Robert Comtesse,1847–1922,Neuenburg,1899-12-14,1912-03-04 00:00:00,FDP/PRD,C07,Valangin,1,1,1,Rechtswissenschaft,1
1900–1912,Marc Ruchet,1853–1912,Waadt,1899-12-14,1912-07-09 00:00:00,FDP/PRD,G05,Saint-Saphorin-sur-Morges,0,0,1,Rechtswissenschaft,1
1903–1917,Ludwig Forrer,1845–1921,Zürich,1902-12-11,1917-12-07 00:00:00,FDP/PRD,A06,Islikon,0,0,1,Rechtswissenschaft,1
1908–1911,Josef Anton Schobinger,1849–1911,Luzern,1908-06-17,1911-11-27 00:00:00,CVP/PDC,F04,Luzern,1,1,1,Architektur,1
1911–1917,Arthur Hoffmann,1857–1927,St. Gallen,1911-04-04,1917-06-19 00:00:00,FDP/PRD,E08,St.Gallen,1,1,1,Rechtswissenschaft,1
1912–1940,Giuseppe Motta,1871–1940,Tessin,1911-12-14,1940-01-23 00:00:00,CVP/PDC,F05,Airolo,1,1,1,Rechtswissenschaft,1
1912–1913,Louis Perrier,1849–1913,Neuenburg,1912-03-12,1913-05-16 00:00:00,FDP/PRD,C08,Neuchâtel,1,1,1,Architektur,1
1912–1919,Camille Decoppet,1862–1925,Waadt,1912-07-17,1919-11-07 00:00:00,FDP/PRD,G06,Suscévaz,0,0,1,Rechtswissenschaft,1
1912–1935,Edmund Schulthess,1868–1944,Aargau,1912-07-17,1935-04-15 00:00:00,FDP/PRD,D06,Villnachern,0,0,1,Rechtswissenschaft,1
1913–1920,Felix Calonder,1863–1952,Graubünden,1913-06-12,1920-02-12 00:00:00,FDP/PRD,C09,Scuol,0,0,1,Rechtswissenschaft,1
1917–1919,Gustave Ador,1845–1928,Genf,1917-06-26,1919-12-31 00:00:00,LPS/PLS,E09,Cologny,1,1,1,Rechtswissenschaft,1
