Abk.,Kanton,Einwohner,Bei­tritt,time_in_office,NR_BR,size_weighted,BR_calc,time_calc,BR_diff,time_diff
ZH,Zürich,1504346.0,1351,1494209.0,20.0,1504346.0,21.0,1872252.0,-1.0,-378043.0
BE,Bern,1031126.0,1353,1485521.0,14.0,1031126.0,15.0,1283301.0,-1.0,202220.0
LU,Luzern,406506.0,1332,520536.0,5.0,406506.0,6.0,505922.0,-1.0,14614.0
UR,Uri,36299.0,7 1291,,,36299.0,1.0,45176.0,-1.0,-45176.0
SZ,Schwyz,157301.0,7 1291,,,157301.0,2.0,195771.0,-2.0,-195771.0
OW,Obwalden,37575.0,7 1291,105528.0,1.0,37575.0,1.0,46764.0,0.0,58764.0
NW,Nidwalden,42969.0,7 1291,,,42969.0,1.0,53478.0,-1.0,-53478.0
GL,Glarus,40349.0,1352,26808.0,1.0,40349.0,1.0,50217.0,0.0,-23409.0
ZG,Zug,125421.0,1352,304320.0,2.0,125421.0,2.0,156094.0,0.0,148226.0
FR,Freiburg,315074.0,1481,284633.0,4.0,315074.0,4.0,392129.0,0.0,-107496.0
SO,Solothurn,271432.0,1481,489096.0,6.0,271432.0,4.0,337814.0,2.0,151282.0
BS,Basel-Stadt,193908.0,1501,245424.0,2.0,193908.0,3.0,241331.0,-1.0,4093.0
BL,Basel-Landschaft,287023.0,1501,54768.0,1.0,287023.0,4.0,357218.0,-3.0,-302450.0
SH,Schaffhausen,81351.0,1501,,,81351.0,1.0,101246.0,-1.0,-101246.0
AR,Appenzell Ausserrhoden,55178.0,1513,119856.0,2.0,55178.0,1.0,68672.0,1.0,51184.0
AI,Appenzell Innerrhoden,16105.0,1513,148152.0,2.0,16105.0,0.0,20044.0,2.0,128108.0
SG,St. Gallen,504686.0,1803,598121.0,6.0,504686.0,7.0,628113.0,-1.0,-29992.0
GR,Graubünden,197888.0,1803,235488.0,4.0,197888.0,3.0,246284.0,1.0,-10796.0
AG,Aargau,670988.0,1803,762816.0,5.0,670988.0,9.0,835086.0,-4.0,-72270.0
TG,Thurgau,273801.0,1803,424008.0,3.0,273801.0,4.0,340762.0,-1.0,83246.0
TI,Tessin,353709.0,1803,700361.0,8.0,353709.0,5.0,440213.0,3.0,260148.0
VD,Waadt,793129.0,1803,1204457.0,15.0,793129.0,11.0,987098.0,4.0,217359.0
VS,Wallis,341463.0,1815,246401.0,4.0,341463.0,5.0,424972.0,-1.0,-178571.0
NE,Neuenburg,177964.0,1815,715680.0,9.0,177964.0,3.0,221487.0,6.0,494193.0
GE,Genf,495249.0,1815,322968.0,5.0,495249.0,7.0,616368.0,-2.0,-293400.0
JU,Jura,73290.0,1979,,,17143.85964912281,0.0,21337.0,-0.0,-21337.0
