Abk.,Kanton,Einwohner,Bei­tritt,time_in_office,NR_BR,size_weighted,BR_calc,time_calc,BR_diff,time_diff
ZH,Zürich,1504346.0,1351,1494214.0,20.0,1504346.0,21.0,1872259.0,-1.0,-378045.0
BE,Bern,1031126.0,1353,1485526.0,14.0,1031126.0,15.0,1283305.0,-1.0,202221.0
LU,Luzern,406506.0,1332,520536.0,5.0,406506.0,6.0,505924.0,-1.0,14612.0
UR,Uri,36299.0,7 1291,,,36299.0,1.0,45177.0,-1.0,-45177.0
SZ,Schwyz,157301.0,7 1291,,,157301.0,2.0,195772.0,-2.0,-195772.0
OW,Obwalden,37575.0,7 1291,105528.0,1.0,37575.0,1.0,46765.0,0.0,58763.0
NW,Nidwalden,42969.0,7 1291,,,42969.0,1.0,53478.0,-1.0,-53478.0
GL,Glarus,40349.0,1352,26808.0,1.0,40349.0,1.0,50217.0,0.0,-23409.0
ZG,Zug,125421.0,1352,304320.0,2.0,125421.0,2.0,156095.0,0.0,148225.0
FR,Freiburg,315074.0,1481,284638.0,4.0,315074.0,4.0,392131.0,0.0,-107493.0
SO,Solothurn,271432.0,1481,489096.0,6.0,271432.0,4.0,337815.0,2.0,151281.0
BS,Basel-Stadt,193908.0,1501,245424.0,2.0,193908.0,3.0,241331.0,-1.0,4093.0
BL,Basel-Landschaft,287023.0,1501,54768.0,1.0,287023.0,4.0,357219.0,-3.0,-302451.0
SH,Schaffhausen,81351.0,1501,,,81351.0,1.0,101247.0,-1.0,-101247.0
AR,Appenzell Ausserrhoden,55178.0,1513,119856.0,2.0,55178.0,1.0,68673.0,1.0,51183.0
AI,Appenzell Innerrhoden,16105.0,1513,148152.0,2.0,16105.0,0.0,20044.0,2.0,128108.0
SG,St. Gallen,504686.0,1803,598126.0,6.0,504686.0,7.0,628115.0,-1.0,-29989.0
GR,Graubünden,197888.0,1803,235488.0,4.0,197888.0,3.0,246285.0,1.0,-10797.0
AG,Aargau,670988.0,1803,762816.0,5.0,670988.0,9.0,835089.0,-4.0,-72273.0
TG,Thurgau,273801.0,1803,424008.0,3.0,273801.0,4.0,340764.0,-1.0,83244.0
TI,Tessin,353709.0,1803,700366.0,8.0,353709.0,5.0,440214.0,3.0,260152.0
VD,Waadt,793129.0,1803,1204462.0,15.0,793129.0,11.0,987102.0,4.0,217360.0
VS,Wallis,341463.0,1815,246406.0,4.0,341463.0,5.0,424973.0,-1.0,-178567.0
NE,Neuenburg,177964.0,1815,715680.0,9.0,177964.0,3.0,221488.0,6.0,494192.0
GE,Genf,495249.0,1815,322968.0,5.0,495249.0,7.0,616370.0,-2.0,-293402.0
JU,Jura,73290.0,1979,,,17143.85964912281,0.0,21337.0,-0.0,-21337.0
