kte_kurz,Kanton,BR_diff,time_diff
ZH,Zürich,-1.0,-43.09360730593607
BE,Bern,-1.0,23.123287671232877
LU,Luzern,-1.0,1.6881278538812785
UR,Uri,-1.0,-5.1553652968036525
SZ,Schwyz,-2.0,-22.340525114155252
OW,Obwalden,0.0,6.710045662100456
NW,Nidwalden,-1.0,-6.102625570776256
GL,Glarus,0.0,-2.6703196347031963
ZG,Zug,0.0,16.926940639269407
FR,Freiburg,0.0,-12.267579908675799
SO,Solothurn,2.0,17.282990867579908
BS,Basel-Stadt,-1.0,0.47682648401826483
BL,Basel-Landschaft,-3.0,-34.512214611872146
SH,Schaffhausen,-1.0,-11.55376712328767
AR,Appenzell Ausserrhoden,1.0,5.845547945205479
AI,Appenzell Innerrhoden,2.0,14.625
SG,St. Gallen,-1.0,-3.410730593607306
GR,Graubünden,1.0,-1.222716894977169
AG,Aargau,-5.0,-9.125913242009133
TG,Thurgau,-1.0,10.094406392694065
TI,Tessin,3.0,29.702853881278536
VD,Waadt,4.0,24.839726027397262
VS,Wallis,-1.0,-20.379794520547946
NE,Neuenburg,6.0,56.423401826484024
GE,Genf,-2.0,-33.468949771689495
JU,Jura,-0.0,-2.4348173515981735
