kte_kurz,Kanton,BR_diff,time_diff
ZH,Zürich,-1.0,-15752.0
BE,Bern,-1.0,8426.0
LU,Luzern,-1.0,609.0
UR,Uri,-1.0,-1882.0
SZ,Schwyz,-2.0,-8157.0
OW,Obwalden,0.0,2448.0
NW,Nidwalden,-1.0,-2228.0
GL,Glarus,0.0,-975.0
ZG,Zug,0.0,6176.0
FR,Freiburg,0.0,-4479.0
SO,Solothurn,2.0,6303.0
BS,Basel-Stadt,-1.0,171.0
BL,Basel-Landschaft,-3.0,-12602.0
SH,Schaffhausen,-1.0,-4219.0
AR,Appenzell Ausserrhoden,1.0,2133.0
AI,Appenzell Innerrhoden,2.0,5338.0
SG,St. Gallen,-1.0,-1250.0
GR,Graubünden,1.0,-450.0
AG,Aargau,-4.0,-3011.0
TG,Thurgau,-1.0,3469.0
TI,Tessin,3.0,10839.0
VD,Waadt,4.0,9057.0
VS,Wallis,-1.0,-7441.0
NE,Neuenburg,6.0,20591.0
GE,Genf,-2.0,-12225.0
JU,Jura,-0.0,-889.0
